date	exchange_rate
01/20/2021	35507.94832614622
01/21/2021	30827.562686199162
01/22/2021	33021.324183347446
01/23/2021	32111.87095458706
01/24/2021	32292.26851841849
01/25/2021	32298.20242912413
01/26/2021	32491.077272091108
01/27/2021	30459.016051124847
01/28/2021	33427.57193423457
01/29/2021	34265.96195754163
01/30/2021	34311.6767943016
01/31/2021	33140.68904335929
02/01/2021	33561.250804033116
02/02/2021	35529.94394058017
02/03/2021	37652.075140248715
02/04/2021	37044.32587355406
02/05/2021	38241.71675508229
02/06/2021	39274.99680973668
02/07/2021	38876.119440959425
02/08/2021	46409.7650271724
02/09/2021	46453.11296238538
02/10/2021	44876.334135367295
02/11/2021	47996.0291440826
02/12/2021	47436.11878703707
02/13/2021	47245.00420687425
Average exchange rate over 25 days: 37390.078527103564
