date	close	SMA_14D
2021-04-27	292.92	
2021-04-26	298.02	
2021-04-23	284.11	
2021-04-22	265.16	
2021-04-21	261.71	
2021-04-20	271.2	
2021-04-19	280.37	
2021-04-16	292.02	
2021-04-15	299.74	
2021-04-14	287.6	
2021-04-13	293.12	
2021-04-12	276.91	
2021-04-09	279.2	
2021-04-08	280.94	283.0728571428571
2021-04-07	280.15	282.1607142857143
2021-04-06	282.34	281.0407142857143
2021-04-05	273.3	280.2685714285714
2021-04-01	273.1	280.8357142857143
2021-03-31	267.95	281.2814285714286
2021-03-30	257.69	280.3164285714286
2021-03-29	252.59	278.33214285714286
2021-03-26	261.31	276.1385714285715
2021-03-25	254.63	272.9164285714286
2021-03-24	258.68	270.85071428571433
2021-03-23	267.3	269.00642857142856
2021-03-22	275.47	268.9035714285714
2021-03-19	272.11	268.3971428571429
2021-03-18	271.73	267.73928571428576
2021-03-17	283.35	267.96785714285716
2021-03-16	284.69	268.1357142857143
2021-03-15	285.46	269.00428571428574
2021-03-12	279.89	269.48928571428576
2021-03-11	286.96	270.84714285714284
2021-03-10	270.19	271.73999999999995
2021-03-09	273.58	273.23928571428576
2021-03-08	258.33	273.02642857142854
2021-03-05	274.98	274.48
2021-03-04	285.01	276.36071428571427
2021-03-03	300.24	278.71357142857147
2021-03-02	322.74	282.09
2021-03-01	321.28	285.60214285714284
2021-02-26	307.38	288.1485714285714
2021-02-25	303.06	289.55642857142857
2021-02-24	334.69	293.1278571428571
2021-02-23	336.31	296.75999999999993
2021-02-22	349.91	301.76142857142855
2021-02-19	364.59	307.30642857142857
2021-02-18	354.88	313.3557142857143
2021-02-17	355.19	319.185
2021-02-16	353.73	325.99928571428575
2021-02-12	339.7	330.6221428571429
2021-02-11	331.9	333.97142857142853
2021-02-10	335.71	336.505
2021-02-09	334.0	337.3092857142857
2021-02-08	323.79	337.48857142857145
2021-02-05	310.77	337.7307142857143
2021-02-04	314.7	338.5621428571429
2021-02-03	317.25	337.3164285714286
2021-02-02	345.05	337.9407142857143
2021-02-01	332.65	336.7078571428571
2021-01-29	315.0	333.1657142857143
2021-01-28	325.44	331.06285714285707
2021-01-27	330.19	329.27714285714285
2021-01-26	337.01	328.0828571428571
2021-01-25	333.61	327.6478571428571
2021-01-22	338.96	328.15214285714285
2021-01-21	348.3	329.0514285714286
2021-01-20	331.41	328.86642857142857
2021-01-19	319.75	328.57785714285717
2021-01-15	319.82	329.22428571428566
2021-01-14	342.27	331.19357142857143
2021-01-13	347.06	333.3228571428571
2021-01-12	347.01	333.4628571428571
2021-01-11	344.07	334.2785714285714
2021-01-08	353.11	337.0007142857143
2021-01-07	331.36	337.4235714285714
2021-01-06	314.24	336.28428571428566
2021-01-05	313.72	334.62071428571426
2021-01-04	311.0	333.0057142857143
2020-12-31	314.66	331.27
2020-12-30	319.35	329.20214285714286
2020-12-29	318.43	328.27500000000003
2020-12-28	317.29	328.0992857142857
2020-12-24	328.39	328.7114285714286
2020-12-23	330.79	327.89142857142855
2020-12-22	321.96	326.09857142857146
2020-12-21	325.57	324.56714285714287
2020-12-18	336.1	323.9978571428572
2020-12-17	328.06	322.2085714285714
2020-12-16	318.53	321.2921428571429
2020-12-15	326.97	322.2014285714286
2020-12-14	320.34	322.67428571428576
2020-12-11	341.22	324.8328571428571
2020-12-10	343.3	326.87857142857143
2020-12-09	332.45	327.8142857142857
2020-12-08	332.86	328.84499999999997
2020-12-07	342.0	330.61
2020-12-04	319.77	329.9942857142857
2020-12-03	316.43	328.96857142857147
2020-12-02	320.89	328.8921428571429
